policy,budget_bytes,k,n,gold_retained_mean,gold_retained_std,hit_at_k_mean,hit_at_k_std,hit_at_k_given_retained_mean,hit_at_k_given_retained_std,evictions_mean,evictions_std,used_bytes_end_mean,used_bytes_end_std
lfu,81920,5,500,0.306,0.4612912086289058,0.302,0.4595850703338258,0.302,0.4595850703338258,40.334,3.2229207928327592,75266.226,4383.50146128025
lru,81920,5,500,0.306,0.4612912086289058,0.302,0.4595850703338258,0.302,0.4595850703338258,40.334,3.2229207928327592,75266.226,4383.50146128025
lfu,98304,5,500,0.352,0.47807228136802155,0.344,0.47551680565983123,0.344,0.47551680565983123,38.766,3.2428809033182535,91749.214,4578.517134455765
lru,98304,5,500,0.352,0.47807228136802155,0.344,0.47551680565983123,0.344,0.47551680565983123,38.766,3.2428809033182535,91749.214,4578.517134455765
lfu,131072,5,500,0.468,0.49947467393232214,0.446,0.49757326929471724,0.446,0.49757326929471724,35.588,3.017360589962645,124609.932,4540.06228001211
lru,131072,5,500,0.468,0.49947467393232214,0.446,0.49757326929471724,0.446,0.49757326929471724,35.588,3.017360589962645,124609.932,4540.06228001211
lfu,196608,5,500,0.648,0.4780722813680217,0.596,0.4911888975395641,0.596,0.4911888975395641,29.116,2.730834838988926,190220.816,4557.727367851583
lru,196608,5,500,0.648,0.4780722813680217,0.596,0.4911888975395641,0.596,0.4911888975395641,29.116,2.730834838988926,190220.816,4557.727367851583
lfu,262144,5,500,0.762,0.4262856306254709,0.692,0.4621289065320465,0.692,0.4621289065320465,22.798,2.4717230487373216,255752.56,4383.83956150337
lru,262144,5,500,0.762,0.4262856306254709,0.692,0.4621289065320465,0.692,0.4621289065320465,22.798,2.4717230487373216,255752.56,4383.83956150337
lfu,524288,5,500,1.0,0.0,0.9,0.30030045075131484,0.9,0.30030045075131484,0.0,0.0,493958.226,9336.311853240866
lru,524288,5,500,1.0,0.0,0.9,0.30030045075131484,0.9,0.30030045075131484,0.0,0.0,493958.226,9336.311853240866
lfu,81920,10,500,0.306,0.4612912086289058,0.306,0.4612912086289058,0.306,0.4612912086289058,40.334,3.2229207928327592,75266.226,4383.50146128025
lru,81920,10,500,0.306,0.4612912086289058,0.306,0.4612912086289058,0.306,0.4612912086289058,40.334,3.2229207928327592,75266.226,4383.50146128025
lfu,98304,10,500,0.352,0.47807228136802155,0.352,0.47807228136802155,0.352,0.47807228136802155,38.766,3.2428809033182535,91749.214,4578.517134455765
lru,98304,10,500,0.352,0.47807228136802155,0.352,0.47807228136802155,0.352,0.47807228136802155,38.766,3.2428809033182535,91749.214,4578.517134455765
lfu,131072,10,500,0.468,0.49947467393232214,0.468,0.49947467393232214,0.468,0.49947467393232214,35.588,3.017360589962645,124609.932,4540.06228001211
lru,131072,10,500,0.468,0.49947467393232214,0.468,0.49947467393232214,0.468,0.49947467393232214,35.588,3.017360589962645,124609.932,4540.06228001211
lfu,196608,10,500,0.648,0.4780722813680217,0.64,0.4804807212021039,0.64,0.4804807212021039,29.116,2.730834838988926,190220.816,4557.727367851583
lru,196608,10,500,0.648,0.4780722813680217,0.64,0.4804807212021039,0.64,0.4804807212021039,29.116,2.730834838988926,190220.816,4557.727367851583
lfu,262144,10,500,0.762,0.4262856306254709,0.736,0.4412407356234773,0.736,0.4412407356234773,22.798,2.4717230487373216,255752.56,4383.83956150337
lru,262144,10,500,0.762,0.4262856306254709,0.736,0.4412407356234773,0.736,0.4412407356234773,22.798,2.4717230487373216,255752.56,4383.83956150337
lfu,524288,10,500,1.0,0.0,0.944,0.23015199299541048,0.944,0.23015199299541048,0.0,0.0,493958.226,9336.311853240866
lru,524288,10,500,1.0,0.0,0.944,0.23015199299541048,0.944,0.23015199299541048,0.0,0.0,493958.226,9336.311853240866
